areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E12000006,East of England,region,2022-12-18,0,14,0,0
E12000006,East of England,region,2022-12-17,0,14,0,0
E12000006,East of England,region,2022-12-16,0,11,0,0
E12000006,East of England,region,2022-12-15,3645,7,0,0
E12000006,East of England,region,2022-12-14,0,9,10551,8607
E12000006,East of England,region,2022-12-13,0,8,0,0
E12000006,East of England,region,2022-12-12,0,6,0,0
E12000006,East of England,region,2022-12-11,0,7,0,0
E12000006,East of England,region,2022-12-10,0,7,0,0
E12000006,East of England,region,2022-12-09,0,11,0,0
E12000006,East of England,region,2022-12-08,2899,6,0,0
E12000006,East of England,region,2022-12-07,0,10,0,-132
E12000006,East of England,region,2022-12-06,0,10,0,-128
E12000006,East of England,region,2022-12-05,0,4,0,28
E12000006,East of England,region,2022-12-04,0,4,0,0
E12000006,East of England,region,2022-12-03,0,4,0,0
E12000006,East of England,region,2022-12-02,0,4,0,0
E12000006,East of England,region,2022-12-01,2425,4,0,0
E12000006,East of England,region,2022-11-30,0,4,0,240
E12000006,East of England,region,2022-11-29,0,5,0,0
E12000006,East of England,region,2022-11-28,0,9,0,0
E12000006,East of England,region,2022-11-27,0,10,0,0
E12000006,East of England,region,2022-11-26,0,5,0,0
E12000006,East of England,region,2022-11-25,0,7,0,0
E12000006,East of England,region,2022-11-24,2055,7,0,0
E12000006,East of England,region,2022-11-23,0,14,0,797
E12000006,East of England,region,2022-11-22,0,8,0,0
E12000006,East of England,region,2022-11-21,0,6,0,0
E12000006,East of England,region,2022-11-20,0,7,0,0
E12000006,East of England,region,2022-11-19,0,6,0,0
E12000006,East of England,region,2022-11-18,0,8,0,0
E12000006,East of England,region,2022-11-17,2195,7,0,0
E12000006,East of England,region,2022-11-16,0,7,0,1318
E12000006,East of England,region,2022-11-15,0,11,0,0
E12000006,East of England,region,2022-11-14,0,8,0,0
E12000006,East of England,region,2022-11-13,0,7,0,0
E12000006,East of England,region,2022-11-12,0,8,0,0
E12000006,East of England,region,2022-11-11,0,7,0,0
E12000006,East of England,region,2022-11-10,2463,12,0,0
E12000006,East of England,region,2022-11-09,0,7,0,1375
E12000006,East of England,region,2022-11-08,0,13,0,0
E12000006,East of England,region,2022-11-07,0,16,0,0
E12000006,East of England,region,2022-11-06,0,13,0,0
E12000006,East of England,region,2022-11-05,0,17,0,0
E12000006,East of England,region,2022-11-04,0,8,0,0
E12000006,East of England,region,2022-11-03,3235,13,0,0
E12000006,East of England,region,2022-11-02,0,18,0,1652
E12000006,East of England,region,2022-11-01,0,12,0,0
E12000006,East of England,region,2022-10-31,0,12,0,0
E12000006,East of England,region,2022-10-30,0,23,0,0
E12000006,East of England,region,2022-10-29,0,10,0,0
E12000006,East of England,region,2022-10-28,0,17,0,0
E12000006,East of England,region,2022-10-27,4549,14,0,0
E12000006,East of England,region,2022-10-26,0,13,0,2593
E12000006,East of England,region,2022-10-25,0,13,0,0
E12000006,East of England,region,2022-10-24,0,19,0,0
E12000006,East of England,region,2022-10-23,0,20,0,0
E12000006,East of England,region,2022-10-22,0,17,0,0
E12000006,East of England,region,2022-10-21,0,15,0,0
E12000006,East of England,region,2022-10-20,6528,20,0,0
E12000006,East of England,region,2022-10-19,0,15,0,2418
E12000006,East of England,region,2022-10-18,0,16,0,0
E12000006,East of England,region,2022-10-17,0,24,0,0
E12000006,East of England,region,2022-10-16,0,16,0,0
E12000006,East of England,region,2022-10-15,0,21,0,0
E12000006,East of England,region,2022-10-14,0,16,0,0
E12000006,East of England,region,2022-10-13,7281,12,0,0
E12000006,East of England,region,2022-10-12,0,19,0,2298
E12000006,East of England,region,2022-10-11,0,20,0,0
E12000006,East of England,region,2022-10-10,0,8,0,0
E12000006,East of England,region,2022-10-09,0,11,0,0
E12000006,East of England,region,2022-10-08,0,18,0,0
E12000006,East of England,region,2022-10-07,0,16,0,0
E12000006,East of England,region,2022-10-06,6978,14,0,0
E12000006,East of England,region,2022-10-05,0,13,0,1170
E12000006,East of England,region,2022-10-04,0,9,0,0
E12000006,East of England,region,2022-10-03,0,17,0,0
E12000006,East of England,region,2022-10-02,0,9,0,0
E12000006,East of England,region,2022-10-01,0,13,0,0
E12000006,East of England,region,2022-09-30,0,10,0,0
E12000006,East of England,region,2022-09-29,5437,11,0,0
E12000006,East of England,region,2022-09-28,0,8,0,189
E12000006,East of England,region,2022-09-27,0,10,0,0
E12000006,East of England,region,2022-09-26,0,6,0,0
E12000006,East of England,region,2022-09-25,0,3,0,0
E12000006,East of England,region,2022-09-24,0,6,0,0
E12000006,East of England,region,2022-09-23,0,8,0,0
E12000006,East of England,region,2022-09-22,3716,6,0,0
E12000006,East of England,region,2022-09-21,0,5,0,483
E12000006,East of England,region,2022-09-20,0,7,0,0
E12000006,East of England,region,2022-09-19,0,4,0,0
E12000006,East of England,region,2022-09-18,0,5,0,0
